id,owner,name,full_name,description,empty,private,fork,template,parent,mirror,size,language,languages_url,html_url,url,link,ssh_url,clone_url,original_url,website,stars_count,forks_count,watchers_count,open_issues_count,open_pr_counter,release_counter,default_branch,archived,created_at,updated_at,archived_at,permissions,has_issues,internal_tracker,has_wiki,has_pull_requests,has_projects,projects_mode,has_releases,has_packages,has_actions,ignore_whitespace_conflicts,allow_merge_commits,allow_rebase,allow_rebase_explicit,allow_squash_merge,allow_fast_forward_only_merge,allow_rebase_update,default_delete_branch_after_merge,default_merge_style,default_allow_maintainer_edit,avatar_url,internal,mirror_interval,object_format_name,mirror_updated,repo_transfer,topics,licenses,external_tracker,external_wiki
41300,"{'id': 47935, 'login': 'selenecosmia', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'hebe@selenocosmia.space', 'avatar_url': 'https://gitea.com/avatars/0ddfd6c4245aeae82e5161d5a2f92e20f21f9463f892cb077efe9ce45f4d62a8', 'html_url': 'https://gitea.com/selenecosmia', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2023-08-24T18:09:47Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 2, 'username': 'selenecosmia'}",ametrine,selenecosmia/ametrine,Terminal output styling written in and for crystal,False,False,False,False,,False,61,Crystal,https://gitea.com/api/v1/repos/selenecosmia/ametrine/languages,https://gitea.com/selenecosmia/ametrine,https://gitea.com/api/v1/repos/selenecosmia/ametrine,,git@gitea.com:selenecosmia/ametrine.git,https://gitea.com/selenecosmia/ametrine.git,https://github.com/SeleneCosmia/Ametrine,,0,0,1,0,0,0,master,False,2023-08-26T08:56:12Z,2023-08-26T08:57:10Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,True,,True,False,False,False,True,True,True,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
46082,"{'id': 54597, 'login': 'lariza99', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'lariza99@noreply.gitea.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/e0fbd71fbe00e4bd33b7d233598df40b?d=identicon', 'html_url': 'https://gitea.com/lariza99', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2023-11-27T11:49:33Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 0, 'username': 'lariza99'}",c,lariza99/c,,False,False,False,False,,False,34,,https://gitea.com/api/v1/repos/lariza99/c/languages,https://gitea.com/lariza99/c,https://gitea.com/api/v1/repos/lariza99/c,,git@gitea.com:lariza99/c.git,https://gitea.com/lariza99/c.git,https://github.com/6248202226/c,,0,0,1,0,0,0,main,False,2023-11-27T11:54:26Z,2023-11-27T11:54:29Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,True,,True,False,True,False,True,True,True,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
19156,"{'id': 26571, 'login': 'mauricioszabo', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'mauricioszabo@noreply.gitea.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/f45c92880baef3593e58fb0b241212cc?d=identicon', 'html_url': 'https://gitea.com/mauricioszabo', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2021-07-11T23:48:38Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 0, 'username': 'mauricioszabo'}",check,mauricioszabo/check,Library helpers for a better testing world.,False,False,False,False,,False,351,Clojure,https://gitea.com/api/v1/repos/mauricioszabo/check/languages,https://gitea.com/mauricioszabo/check,https://gitea.com/api/v1/repos/mauricioszabo/check,,git@gitea.com:mauricioszabo/check.git,https://gitea.com/mauricioszabo/check.git,https://github.com/mauricioszabo/check,,0,0,1,0,0,0,master,False,2021-07-20T20:00:28Z,2021-07-20T20:01:53Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,True,,True,False,False,True,True,False,False,False,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
1496,"{'id': 1074, 'login': 'longdahai', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'longdahai@noreply.gitea.com', 'avatar_url': 'https://gitea.com/avatars/6ae09f72a623aa0a2e96d26ea1f633f8', 'html_url': 'https://gitea.com/longdahai', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2019-08-28T03:28:16Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 0, 'username': 'longdahai'}",cmd,longdahai/cmd,Command line tools for database operation written by Go ,False,False,True,False,"{'id': 607, 'owner': {'id': 6, 'login': 'xorm', 'login_name': '', 'source_id': 0, 'full_name': 'eXtra ORM for Golang', 'email': '', 'avatar_url': 'https://gitea.com/avatars/0a08acc1fee50da10f15887399790df5', 'html_url': 'https://gitea.com/xorm', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2018-11-29T04:16:05Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': 'Shanghai, China', 'website': 'https://xorm.io', 'description': 'XORM community', 'visibility': 'public', 'followers_count': 5, 'following_count': 0, 'starred_repos_count': 0, 'username': 'xorm'}, 'name': 'cmd', 'full_name': 'xorm/cmd', 'description': 'Command line tools for database operation written by Go. Use reverse instead.', 'empty': False, 'private': False, 'fork': False, 'template': False, 'parent': None, 'mirror': False, 'size': 4502, 'language': '', 'languages_url': 'https://gitea.com/api/v1/repos/xorm/cmd/languages', 'html_url': 'https://gitea.com/xorm/cmd', 'url': 'https://gitea.com/api/v1/repos/xorm/cmd', 'link': '', 'ssh_url': 'git@gitea.com:xorm/cmd.git', 'clone_url': 'https://gitea.com/xorm/cmd.git', 'original_url': '', 'website': '', 'stars_count': 7, 'forks_count': 7, 'watchers_count': 13, 'open_issues_count': 31, 'open_pr_counter': 2, 'release_counter': 1, 'default_branch': 'master', 'archived': True, 'created_at': '2019-06-06T01:14:15Z', 'updated_at': '2020-04-27T01:45:49Z', 'archived_at': '2020-04-27T01:45:49Z', 'permissions': {'admin': False, 'push': False, 'pull': True}, 'has_issues': True, 'internal_tracker': {'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}, 'has_wiki': True, 'has_pull_requests': True, 'has_projects': False, 'projects_mode': 'all', 'has_releases': True, 'has_packages': False, 'has_actions': False, 'ignore_whitespace_conflicts': True, 'allow_merge_commits': False, 'allow_rebase': False, 'allow_rebase_explicit': False, 'allow_squash_merge': True, 'allow_fast_forward_only_merge': False, 'allow_rebase_update': True, 'default_delete_branch_after_merge': False, 'default_merge_style': 'merge', 'default_allow_maintainer_edit': False, 'avatar_url': '', 'internal': False, 'mirror_interval': '', 'object_format_name': 'sha1', 'mirror_updated': '0001-01-01T00:00:00Z', 'repo_transfer': None, 'topics': [], 'licenses': None}",False,3420,Go,https://gitea.com/api/v1/repos/longdahai/cmd/languages,https://gitea.com/longdahai/cmd,https://gitea.com/api/v1/repos/longdahai/cmd,,git@gitea.com:longdahai/cmd.git,https://gitea.com/longdahai/cmd.git,,,0,0,1,0,0,0,master,False,2019-08-28T03:29:24Z,2019-09-12T09:40:58Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,False,all,True,False,False,False,True,True,True,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
2962,"{'id': 544, 'login': 'taianrc', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'taianrc@noreply.gitea.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/daaabcbd40bfe3c9c5c30a99df4f51ba?d=identicon', 'html_url': 'https://gitea.com/taianrc', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2019-06-25T03:57:34Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 0, 'username': 'taianrc'}",cmd,taianrc/cmd,Command line tools for database operation written by Go ,False,False,True,False,"{'id': 607, 'owner': {'id': 6, 'login': 'xorm', 'login_name': '', 'source_id': 0, 'full_name': 'eXtra ORM for Golang', 'email': '', 'avatar_url': 'https://gitea.com/avatars/0a08acc1fee50da10f15887399790df5', 'html_url': 'https://gitea.com/xorm', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2018-11-29T04:16:05Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': 'Shanghai, China', 'website': 'https://xorm.io', 'description': 'XORM community', 'visibility': 'public', 'followers_count': 5, 'following_count': 0, 'starred_repos_count': 0, 'username': 'xorm'}, 'name': 'cmd', 'full_name': 'xorm/cmd', 'description': 'Command line tools for database operation written by Go. Use reverse instead.', 'empty': False, 'private': False, 'fork': False, 'template': False, 'parent': None, 'mirror': False, 'size': 4502, 'language': '', 'languages_url': 'https://gitea.com/api/v1/repos/xorm/cmd/languages', 'html_url': 'https://gitea.com/xorm/cmd', 'url': 'https://gitea.com/api/v1/repos/xorm/cmd', 'link': '', 'ssh_url': 'git@gitea.com:xorm/cmd.git', 'clone_url': 'https://gitea.com/xorm/cmd.git', 'original_url': '', 'website': '', 'stars_count': 7, 'forks_count': 7, 'watchers_count': 13, 'open_issues_count': 31, 'open_pr_counter': 2, 'release_counter': 1, 'default_branch': 'master', 'archived': True, 'created_at': '2019-06-06T01:14:15Z', 'updated_at': '2020-04-27T01:45:49Z', 'archived_at': '2020-04-27T01:45:49Z', 'permissions': {'admin': False, 'push': False, 'pull': True}, 'has_issues': True, 'internal_tracker': {'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}, 'has_wiki': True, 'has_pull_requests': True, 'has_projects': False, 'projects_mode': 'all', 'has_releases': True, 'has_packages': False, 'has_actions': False, 'ignore_whitespace_conflicts': True, 'allow_merge_commits': False, 'allow_rebase': False, 'allow_rebase_explicit': False, 'allow_squash_merge': True, 'allow_fast_forward_only_merge': False, 'allow_rebase_update': True, 'default_delete_branch_after_merge': False, 'default_merge_style': 'merge', 'default_allow_maintainer_edit': False, 'avatar_url': '', 'internal': False, 'mirror_interval': '', 'object_format_name': 'sha1', 'mirror_updated': '0001-01-01T00:00:00Z', 'repo_transfer': None, 'topics': [], 'licenses': None}",False,6519,Go,https://gitea.com/api/v1/repos/taianrc/cmd/languages,https://gitea.com/taianrc/cmd,https://gitea.com/api/v1/repos/taianrc/cmd,,git@gitea.com:taianrc/cmd.git,https://gitea.com/taianrc/cmd.git,,,0,0,1,0,0,0,master,False,2019-12-30T11:20:05Z,2019-12-30T11:20:06Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,False,all,True,False,False,False,True,True,True,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
61,"{'id': 1, 'login': 'lunny', 'login_name': '', 'source_id': 0, 'full_name': 'Lunny Xiao', 'email': 'xiaolunwen@gmail.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/271fc56bcea89c6f69ab0024b59b3f81?d=identicon', 'html_url': 'https://gitea.com/lunny', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2018-11-27T17:33:38Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': 'Silicon Valley', 'website': 'https://gitea.com', 'description': '', 'visibility': 'public', 'followers_count': 86, 'following_count': 87, 'starred_repos_count': 330, 'username': 'lunny'}",config,lunny/config,"Simple config golang library to load `k=v` from config files, environment variables and command line flags",False,False,False,False,,False,53,Go,https://gitea.com/api/v1/repos/lunny/config/languages,https://gitea.com/lunny/config,https://gitea.com/api/v1/repos/lunny/config,,git@gitea.com:lunny/config.git,https://gitea.com/lunny/config.git,,,1,0,1,0,0,0,master,False,2019-02-26T02:30:08Z,2020-05-01T03:46:46Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,False,all,True,False,False,True,False,False,False,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,"['golang', 'config']",,,
25396,"{'id': 32156, 'login': 'ethereum-git-sync', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'ethereum-git-sync@noreply.gitea.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/fe3efb38fe2589fbc6336cb5c6ae185c?d=identicon', 'html_url': 'https://gitea.com/ethereum-git-sync', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2022-05-31T17:27:43Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 1, 'following_count': 0, 'starred_repos_count': 0, 'username': 'ethereum-git-sync'}",consensus-specs,ethereum-git-sync/consensus-specs,,False,False,False,False,,False,25682,Python,https://gitea.com/api/v1/repos/ethereum-git-sync/consensus-specs/languages,https://gitea.com/ethereum-git-sync/consensus-specs,https://gitea.com/api/v1/repos/ethereum-git-sync/consensus-specs,,git@gitea.com:ethereum-git-sync/consensus-specs.git,https://gitea.com/ethereum-git-sync/consensus-specs.git,,,0,0,1,0,0,0,dev,False,2022-07-07T05:27:13Z,2023-04-22T00:16:04Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,True,,True,False,False,False,True,True,True,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
69289,"{'id': 87403, 'login': 'jja13', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'jja13@noreply.gitea.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/a6c602c66cf48a76aa4e9aadfc032078?d=identicon', 'html_url': 'https://gitea.com/jja13', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2024-10-07T19:15:48Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 0, 'username': 'jja13'}",cookieclicker,jja13/cookieclicker,"Cookie Clicker copy for, errrr, educational purpose.",False,False,False,False,,False,29439,JavaScript,https://gitea.com/api/v1/repos/jja13/cookieclicker/languages,https://gitea.com/jja13/cookieclicker,https://gitea.com/api/v1/repos/jja13/cookieclicker,,git@gitea.com:jja13/cookieclicker.git,https://gitea.com/jja13/cookieclicker.git,https://github.com/ozh/cookieclicker,,0,0,1,0,0,1,gh-pages,False,2024-10-07T19:19:26Z,2024-10-07T20:11:06Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,True,all,True,False,True,False,True,True,True,True,True,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,"['cookie', 'cookie-clicker', 'cookieclicker', 'game']",,,
718,"{'id': 6, 'login': 'xorm', 'login_name': '', 'source_id': 0, 'full_name': 'eXtra ORM for Golang', 'email': '', 'avatar_url': 'https://gitea.com/avatars/0a08acc1fee50da10f15887399790df5', 'html_url': 'https://gitea.com/xorm', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2018-11-29T04:16:05Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': 'Shanghai, China', 'website': 'https://xorm.io', 'description': 'XORM community', 'visibility': 'public', 'followers_count': 5, 'following_count': 0, 'starred_repos_count': 0, 'username': 'xorm'}",core,xorm/core,Lightweight & Compitable wrapper of database/sql,False,False,False,False,,False,527,Go,https://gitea.com/api/v1/repos/xorm/core/languages,https://gitea.com/xorm/core,https://gitea.com/api/v1/repos/xorm/core,,git@gitea.com:xorm/core.git,https://gitea.com/xorm/core.git,,,6,5,12,5,2,3,master,True,2019-06-19T09:17:56Z,2020-01-19T09:06:21Z,2020-01-19T09:06:21Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,False,all,True,False,False,True,False,False,False,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
833,"{'id': 648, 'login': 'geange', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'geange@noreply.gitea.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/bf817ec5607d6af9cdc69e8728db6383?d=identicon', 'html_url': 'https://gitea.com/geange', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2019-07-10T03:08:15Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 0, 'username': 'geange'}",core,geange/core,Lightweight & Compitable wrapper of database/sql,False,False,True,False,"{'id': 718, 'owner': {'id': 6, 'login': 'xorm', 'login_name': '', 'source_id': 0, 'full_name': 'eXtra ORM for Golang', 'email': '', 'avatar_url': 'https://gitea.com/avatars/0a08acc1fee50da10f15887399790df5', 'html_url': 'https://gitea.com/xorm', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2018-11-29T04:16:05Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': 'Shanghai, China', 'website': 'https://xorm.io', 'description': 'XORM community', 'visibility': 'public', 'followers_count': 5, 'following_count': 0, 'starred_repos_count': 0, 'username': 'xorm'}, 'name': 'core', 'full_name': 'xorm/core', 'description': 'Lightweight & Compitable wrapper of database/sql', 'empty': False, 'private': False, 'fork': False, 'template': False, 'parent': None, 'mirror': False, 'size': 527, 'language': '', 'languages_url': 'https://gitea.com/api/v1/repos/xorm/core/languages', 'html_url': 'https://gitea.com/xorm/core', 'url': 'https://gitea.com/api/v1/repos/xorm/core', 'link': '', 'ssh_url': 'git@gitea.com:xorm/core.git', 'clone_url': 'https://gitea.com/xorm/core.git', 'original_url': '', 'website': '', 'stars_count': 6, 'forks_count': 5, 'watchers_count': 12, 'open_issues_count': 5, 'open_pr_counter': 2, 'release_counter': 3, 'default_branch': 'master', 'archived': True, 'created_at': '2019-06-19T09:17:56Z', 'updated_at': '2020-01-19T09:06:21Z', 'archived_at': '2020-01-19T09:06:21Z', 'permissions': {'admin': False, 'push': False, 'pull': True}, 'has_issues': True, 'internal_tracker': {'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}, 'has_wiki': True, 'has_pull_requests': True, 'has_projects': False, 'projects_mode': 'all', 'has_releases': True, 'has_packages': False, 'has_actions': False, 'ignore_whitespace_conflicts': True, 'allow_merge_commits': False, 'allow_rebase': False, 'allow_rebase_explicit': False, 'allow_squash_merge': True, 'allow_fast_forward_only_merge': False, 'allow_rebase_update': True, 'default_delete_branch_after_merge': False, 'default_merge_style': 'merge', 'default_allow_maintainer_edit': False, 'avatar_url': '', 'internal': False, 'mirror_interval': '', 'object_format_name': 'sha1', 'mirror_updated': '0001-01-01T00:00:00Z', 'repo_transfer': None, 'topics': [], 'licenses': None}",False,233,Go,https://gitea.com/api/v1/repos/geange/core/languages,https://gitea.com/geange/core,https://gitea.com/api/v1/repos/geange/core,,git@gitea.com:geange/core.git,https://gitea.com/geange/core.git,,,0,0,1,0,0,0,master,False,2019-07-10T03:10:01Z,2019-07-10T03:10:01Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,False,all,True,False,False,False,True,True,True,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
