id,owner,name,full_name,description,empty,private,fork,template,parent,mirror,size,language,languages_url,html_url,url,link,ssh_url,clone_url,original_url,website,stars_count,forks_count,watchers_count,open_issues_count,open_pr_counter,release_counter,default_branch,archived,created_at,updated_at,archived_at,permissions,has_issues,internal_tracker,has_wiki,has_pull_requests,has_projects,projects_mode,has_releases,has_packages,has_actions,ignore_whitespace_conflicts,allow_merge_commits,allow_rebase,allow_rebase_explicit,allow_squash_merge,allow_fast_forward_only_merge,allow_rebase_update,default_delete_branch_after_merge,default_merge_style,default_allow_maintainer_edit,avatar_url,internal,mirror_interval,object_format_name,mirror_updated,repo_transfer,topics,licenses,external_tracker,external_wiki
16261,"{'id': 1388, 'login': 'chopin42', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'chopin42@noreply.gitea.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/ecd72c7d54a4ec16286cc39732c8473b?d=identicon', 'html_url': 'https://gitea.com/chopin42', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2019-10-08T08:07:40Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 3, 'following_count': 3, 'starred_repos_count': 7, 'username': 'chopin42'}",0tube,chopin42/0tube,"""0ads 0trackers 0tube"" the opensource youtube frontend",False,False,True,False,"{'id': 16091, 'owner': {'id': 8214, 'login': 'tabzlock', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'tabzlock@noreply.gitea.com', 'avatar_url': 'https://gitea.com/avatars/9c915f44f89439ce7f10a7ec000dc446', 'html_url': 'https://gitea.com/tabzlock', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2020-08-09T11:58:57Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 2, 'following_count': 0, 'starred_repos_count': 2, 'username': 'tabzlock'}, 'name': '0tube', 'full_name': 'tabzlock/0tube', 'description': '""0ads 0trackers 0tube"" the opensource youtube frontend', 'empty': False, 'private': False, 'fork': False, 'template': False, 'parent': None, 'mirror': False, 'size': 16577, 'language': '', 'languages_url': 'https://gitea.com/api/v1/repos/tabzlock/0tube/languages', 'html_url': 'https://gitea.com/tabzlock/0tube', 'url': 'https://gitea.com/api/v1/repos/tabzlock/0tube', 'link': '', 'ssh_url': 'git@gitea.com:tabzlock/0tube.git', 'clone_url': 'https://gitea.com/tabzlock/0tube.git', 'original_url': '', 'website': '', 'stars_count': 4, 'forks_count': 2, 'watchers_count': 2, 'open_issues_count': 2, 'open_pr_counter': 0, 'release_counter': 0, 'default_branch': 'master', 'archived': True, 'created_at': '2020-08-09T12:00:15Z', 'updated_at': '2020-11-10T03:38:24Z', 'archived_at': '2020-11-10T03:38:24Z', 'permissions': {'admin': False, 'push': False, 'pull': True}, 'has_issues': True, 'internal_tracker': {'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}, 'has_wiki': True, 'has_pull_requests': True, 'has_projects': False, 'projects_mode': 'all', 'has_releases': True, 'has_packages': False, 'has_actions': False, 'ignore_whitespace_conflicts': False, 'allow_merge_commits': True, 'allow_rebase': True, 'allow_rebase_explicit': True, 'allow_squash_merge': True, 'allow_fast_forward_only_merge': False, 'allow_rebase_update': True, 'default_delete_branch_after_merge': False, 'default_merge_style': 'merge', 'default_allow_maintainer_edit': False, 'avatar_url': 'https://gitea.com/repo-avatars/16091-c2ca7ca645af1d0eadfb5d60c67bd05d', 'internal': False, 'mirror_interval': '', 'object_format_name': 'sha1', 'mirror_updated': '0001-01-01T00:00:00Z', 'repo_transfer': None, 'topics': [], 'licenses': None}",False,16576,Crystal,https://gitea.com/api/v1/repos/chopin42/0tube/languages,https://gitea.com/chopin42/0tube,https://gitea.com/api/v1/repos/chopin42/0tube,,git@gitea.com:chopin42/0tube.git,https://gitea.com/chopin42/0tube.git,,,0,0,1,0,0,0,master,False,2020-08-30T10:02:07Z,2020-08-30T10:02:08Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,True,,True,False,False,False,True,True,True,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
16091,"{'id': 8214, 'login': 'tabzlock', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'tabzlock@noreply.gitea.com', 'avatar_url': 'https://gitea.com/avatars/9c915f44f89439ce7f10a7ec000dc446', 'html_url': 'https://gitea.com/tabzlock', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2020-08-09T11:58:57Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 2, 'following_count': 0, 'starred_repos_count': 2, 'username': 'tabzlock'}",0tube,tabzlock/0tube,"""0ads 0trackers 0tube"" the opensource youtube frontend",False,False,False,False,,False,16577,Crystal,https://gitea.com/api/v1/repos/tabzlock/0tube/languages,https://gitea.com/tabzlock/0tube,https://gitea.com/api/v1/repos/tabzlock/0tube,,git@gitea.com:tabzlock/0tube.git,https://gitea.com/tabzlock/0tube.git,,,4,2,2,2,0,0,master,True,2020-08-09T12:00:15Z,2020-11-10T03:38:24Z,2020-11-10T03:38:24Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,False,all,True,False,False,False,True,True,True,True,False,True,False,merge,False,https://gitea.com/repo-avatars/16091-c2ca7ca645af1d0eadfb5d60c67bd05d,False,,sha1,0001-01-01T00:00:00Z,,[],,,
16097,"{'id': 2367, 'login': 'BlackWinnerYoshi', 'login_name': '', 'source_id': 0, 'full_name': 'Jakub S.', 'email': 'gitea@blackwinneryoshi.anonaddy.com', 'avatar_url': 'https://gitea.com/avatars/9fa98ef1d4ae08a14ef1fb1764f4e861', 'html_url': 'https://gitea.com/BlackWinnerYoshi', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2020-01-04T13:52:11Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': 'Warsaw, Mazovia, Poland', 'website': 'https://blackwinneryoshi.neocities.org', 'description': '', 'visibility': 'public', 'followers_count': 1, 'following_count': 2, 'starred_repos_count': 4, 'username': 'BlackWinnerYoshi'}",0tube,BlackWinnerYoshi/0tube,"""0ads 0trackers 0tube"" the opensource youtube frontend",False,False,True,False,"{'id': 16091, 'owner': {'id': 8214, 'login': 'tabzlock', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'tabzlock@noreply.gitea.com', 'avatar_url': 'https://gitea.com/avatars/9c915f44f89439ce7f10a7ec000dc446', 'html_url': 'https://gitea.com/tabzlock', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2020-08-09T11:58:57Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 2, 'following_count': 0, 'starred_repos_count': 2, 'username': 'tabzlock'}, 'name': '0tube', 'full_name': 'tabzlock/0tube', 'description': '""0ads 0trackers 0tube"" the opensource youtube frontend', 'empty': False, 'private': False, 'fork': False, 'template': False, 'parent': None, 'mirror': False, 'size': 16577, 'language': '', 'languages_url': 'https://gitea.com/api/v1/repos/tabzlock/0tube/languages', 'html_url': 'https://gitea.com/tabzlock/0tube', 'url': 'https://gitea.com/api/v1/repos/tabzlock/0tube', 'link': '', 'ssh_url': 'git@gitea.com:tabzlock/0tube.git', 'clone_url': 'https://gitea.com/tabzlock/0tube.git', 'original_url': '', 'website': '', 'stars_count': 4, 'forks_count': 2, 'watchers_count': 2, 'open_issues_count': 2, 'open_pr_counter': 0, 'release_counter': 0, 'default_branch': 'master', 'archived': True, 'created_at': '2020-08-09T12:00:15Z', 'updated_at': '2020-11-10T03:38:24Z', 'archived_at': '2020-11-10T03:38:24Z', 'permissions': {'admin': False, 'push': False, 'pull': True}, 'has_issues': True, 'internal_tracker': {'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}, 'has_wiki': True, 'has_pull_requests': True, 'has_projects': False, 'projects_mode': 'all', 'has_releases': True, 'has_packages': False, 'has_actions': False, 'ignore_whitespace_conflicts': False, 'allow_merge_commits': True, 'allow_rebase': True, 'allow_rebase_explicit': True, 'allow_squash_merge': True, 'allow_fast_forward_only_merge': False, 'allow_rebase_update': True, 'default_delete_branch_after_merge': False, 'default_merge_style': 'merge', 'default_allow_maintainer_edit': False, 'avatar_url': 'https://gitea.com/repo-avatars/16091-c2ca7ca645af1d0eadfb5d60c67bd05d', 'internal': False, 'mirror_interval': '', 'object_format_name': 'sha1', 'mirror_updated': '0001-01-01T00:00:00Z', 'repo_transfer': None, 'topics': [], 'licenses': None}",False,16489,Crystal,https://gitea.com/api/v1/repos/BlackWinnerYoshi/0tube/languages,https://gitea.com/BlackWinnerYoshi/0tube,https://gitea.com/api/v1/repos/BlackWinnerYoshi/0tube,,git@gitea.com:BlackWinnerYoshi/0tube.git,https://gitea.com/BlackWinnerYoshi/0tube.git,,,0,0,1,0,0,0,master,False,2020-08-10T10:31:47Z,2020-08-10T10:32:47Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,False,all,True,False,False,False,True,True,True,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
19981,"{'id': 17948, 'login': 'serialt', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 't@imau.cc', 'avatar_url': 'https://gitea.com/avatars/4515830c5fef714f2c521dc7667fea32', 'html_url': 'https://gitea.com/serialt', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2021-02-05T07:52:52Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'limited', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 1, 'username': 'serialt'}",acs-deployment,serialt/acs-deployment,,False,False,False,False,,False,8963,Smarty,https://gitea.com/api/v1/repos/serialt/acs-deployment/languages,https://gitea.com/serialt/acs-deployment,https://gitea.com/api/v1/repos/serialt/acs-deployment,,git@gitea.com:serialt/acs-deployment.git,https://gitea.com/serialt/acs-deployment.git,https://github.com/Alfresco/acs-deployment.git,,0,0,1,0,0,0,master,False,2021-11-11T08:20:47Z,2021-11-11T08:21:56Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,True,,True,False,False,False,True,True,True,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
15857,"{'id': 7514, 'login': 'bioconductor', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': '', 'avatar_url': 'https://gitea.com/avatars/7514', 'html_url': 'https://gitea.com/bioconductor', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2020-07-16T02:18:54Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': 'A non-official mirror of git repositories of Bioconductor packages', 'visibility': 'public', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 0, 'username': 'bioconductor'}",affxparser,bioconductor/affxparser,,False,False,False,False,,True,991,R,https://gitea.com/api/v1/repos/bioconductor/affxparser/languages,https://gitea.com/bioconductor/affxparser,https://gitea.com/api/v1/repos/bioconductor/affxparser,,git@gitea.com:bioconductor/affxparser.git,https://gitea.com/bioconductor/affxparser.git,https://git.bioconductor.org/packages/aroma.light,,0,0,1,0,0,0,master,False,2020-07-16T02:21:51Z,2020-07-16T02:22:31Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,,False,False,False,all,True,False,False,False,False,False,False,False,False,False,False,merge,False,,False,8h0m0s,sha1,2020-07-16T02:22:31Z,,[],,"{'external_tracker_url': 'https://github.com/HenrikBengtsson/affxparser/issues', 'external_tracker_format': 'https://github.com/HenrikBengtsson/{repo}/issues/{index}', 'external_tracker_style': 'numeric', 'external_tracker_regexp_pattern': ''}",
83004,"{'id': 97306, 'login': 'jiboc8558chansd', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'jiboc8558chansd@noreply.gitea.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/394d94a2ad4aca80d79f4c78adda371d?d=identicon', 'html_url': 'https://gitea.com/jiboc8558chansd', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2024-12-26T19:43:02Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 0, 'username': 'jiboc8558chansd'}",AiTrain,jiboc8558chansd/AiTrain,,False,False,False,False,,False,776,Shell,https://gitea.com/api/v1/repos/jiboc8558chansd/AiTrain/languages,https://gitea.com/jiboc8558chansd/AiTrain,https://gitea.com/api/v1/repos/jiboc8558chansd/AiTrain,,git@gitea.com:jiboc8558chansd/AiTrain.git,https://gitea.com/jiboc8558chansd/AiTrain.git,https://github.com/fsquillace/junest,,0,0,1,0,0,0,master,False,2024-12-26T19:45:09Z,2024-12-26T19:45:11Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,True,all,True,False,True,False,True,True,True,True,True,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],['GPL-3.0'],,
61982,"{'id': 31379, 'login': 'raveh', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'raveh@noreply.gitea.com', 'avatar_url': 'https://gitea.com/avatars/3ca7440c112456a3222b59794b328287', 'html_url': 'https://gitea.com/raveh', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2022-03-27T03:44:53Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 0, 'username': 'raveh'}",algorithms,raveh/algorithms,,False,False,False,False,,False,6151,C++,https://gitea.com/api/v1/repos/raveh/algorithms/languages,https://gitea.com/raveh/algorithms,https://gitea.com/api/v1/repos/raveh/algorithms,,git@gitea.com:raveh/algorithms.git,https://gitea.com/raveh/algorithms.git,https://github.com/xtaci/algorithms.git,,0,0,1,0,0,0,master,False,2024-07-22T07:37:18Z,2024-07-22T07:37:21Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,True,all,True,False,True,False,True,True,True,True,True,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
2577,"{'id': 1914, 'login': 'fasheng', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'fasheng@noreply.gitea.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/eb5e88d4390c5223b6e5ec0d46e4c414?d=identicon', 'html_url': 'https://gitea.com/fasheng', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2019-11-22T13:03:08Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': 'https://codeberg.org/fasheng', 'description': 'Archived, goto https://codeberg.org/fasheng for latest projects', 'visibility': 'public', 'followers_count': 1, 'following_count': 0, 'starred_repos_count': 1, 'username': 'fasheng'}",amap-nlp-backend,fasheng/amap-nlp-backend,microG/UnifiedNlp backend that uses AMap Location API to resolve locations,False,False,False,False,,True,141,Java,https://gitea.com/api/v1/repos/fasheng/amap-nlp-backend/languages,https://gitea.com/fasheng/amap-nlp-backend,https://gitea.com/api/v1/repos/fasheng/amap-nlp-backend,,git@gitea.com:fasheng/amap-nlp-backend.git,https://gitea.com/fasheng/amap-nlp-backend.git,https://gitlab.com/fasheng/amap-nlp-backend,,1,1,1,0,0,0,master,False,2019-11-23T06:22:16Z,2020-01-21T08:08:23Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,"{'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}",True,True,False,all,True,False,False,False,True,True,True,True,False,True,False,merge,False,,False,8h0m0s,sha1,2020-06-03T18:26:57Z,,"['android', 'nlp', 'microg', 'unifiednlp', 'navigation', 'amap']",,,
37304,"{'id': 41506, 'login': 'guimmp', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'guimmp@noreply.gitea.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/32ef5aee49f54ad52f3c4c4f967a9035?d=identicon', 'html_url': 'https://gitea.com/guimmp', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2023-04-19T18:32:29Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': '', 'visibility': 'public', 'followers_count': 0, 'following_count': 1, 'starred_repos_count': 1, 'username': 'guimmp'}",amap-nlp-backend,guimmp/amap-nlp-backend,microG/UnifiedNlp backend that uses AMap Location API to resolve locations,False,False,True,False,"{'id': 2577, 'owner': {'id': 1914, 'login': 'fasheng', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': 'fasheng@noreply.gitea.com', 'avatar_url': 'https://seccdn.libravatar.org/avatar/eb5e88d4390c5223b6e5ec0d46e4c414?d=identicon', 'html_url': 'https://gitea.com/fasheng', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2019-11-22T13:03:08Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': 'https://codeberg.org/fasheng', 'description': 'Archived, goto https://codeberg.org/fasheng for latest projects', 'visibility': 'public', 'followers_count': 1, 'following_count': 0, 'starred_repos_count': 1, 'username': 'fasheng'}, 'name': 'amap-nlp-backend', 'full_name': 'fasheng/amap-nlp-backend', 'description': 'microG/UnifiedNlp backend that uses AMap Location API to resolve locations', 'empty': False, 'private': False, 'fork': False, 'template': False, 'parent': None, 'mirror': True, 'size': 141, 'language': '', 'languages_url': 'https://gitea.com/api/v1/repos/fasheng/amap-nlp-backend/languages', 'html_url': 'https://gitea.com/fasheng/amap-nlp-backend', 'url': 'https://gitea.com/api/v1/repos/fasheng/amap-nlp-backend', 'link': '', 'ssh_url': 'git@gitea.com:fasheng/amap-nlp-backend.git', 'clone_url': 'https://gitea.com/fasheng/amap-nlp-backend.git', 'original_url': 'https://gitlab.com/fasheng/amap-nlp-backend', 'website': '', 'stars_count': 1, 'forks_count': 1, 'watchers_count': 1, 'open_issues_count': 0, 'open_pr_counter': 0, 'release_counter': 0, 'default_branch': 'master', 'archived': False, 'created_at': '2019-11-23T06:22:16Z', 'updated_at': '2020-01-21T08:08:23Z', 'archived_at': '1970-01-01T00:00:00Z', 'permissions': {'admin': False, 'push': False, 'pull': True}, 'has_issues': True, 'internal_tracker': {'enable_time_tracker': True, 'allow_only_contributors_to_track_time': True, 'enable_issue_dependencies': True}, 'has_wiki': True, 'has_pull_requests': True, 'has_projects': False, 'projects_mode': 'all', 'has_releases': True, 'has_packages': False, 'has_actions': False, 'ignore_whitespace_conflicts': False, 'allow_merge_commits': True, 'allow_rebase': True, 'allow_rebase_explicit': True, 'allow_squash_merge': True, 'allow_fast_forward_only_merge': False, 'allow_rebase_update': True, 'default_delete_branch_after_merge': False, 'default_merge_style': 'merge', 'default_allow_maintainer_edit': False, 'avatar_url': '', 'internal': False, 'mirror_interval': '8h0m0s', 'object_format_name': 'sha1', 'mirror_updated': '2020-06-03T18:26:57Z', 'repo_transfer': None, 'topics': ['android', 'nlp', 'microg', 'unifiednlp', 'navigation', 'amap'], 'licenses': None}",False,143,Java,https://gitea.com/api/v1/repos/guimmp/amap-nlp-backend/languages,https://gitea.com/guimmp/amap-nlp-backend,https://gitea.com/api/v1/repos/guimmp/amap-nlp-backend,,git@gitea.com:guimmp/amap-nlp-backend.git,https://gitea.com/guimmp/amap-nlp-backend.git,,,0,0,1,0,0,0,master,False,2023-04-19T18:33:51Z,2023-04-19T18:33:51Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",False,,False,True,False,all,False,False,False,False,True,True,True,True,False,True,False,merge,False,,False,,sha1,0001-01-01T00:00:00Z,,[],,,
15856,"{'id': 7514, 'login': 'bioconductor', 'login_name': '', 'source_id': 0, 'full_name': '', 'email': '', 'avatar_url': 'https://gitea.com/avatars/7514', 'html_url': 'https://gitea.com/bioconductor', 'language': '', 'is_admin': False, 'last_login': '0001-01-01T00:00:00Z', 'created': '2020-07-16T02:18:54Z', 'restricted': False, 'active': False, 'prohibit_login': False, 'location': '', 'website': '', 'description': 'A non-official mirror of git repositories of Bioconductor packages', 'visibility': 'public', 'followers_count': 0, 'following_count': 0, 'starred_repos_count': 0, 'username': 'bioconductor'}",aroma.light,bioconductor/aroma.light,,False,False,False,False,,True,991,R,https://gitea.com/api/v1/repos/bioconductor/aroma.light/languages,https://gitea.com/bioconductor/aroma.light,https://gitea.com/api/v1/repos/bioconductor/aroma.light,,git@gitea.com:bioconductor/aroma.light.git,https://gitea.com/bioconductor/aroma.light.git,https://git.bioconductor.org/packages/aroma.light,,0,0,1,0,0,0,master,False,2020-07-16T02:21:14Z,2020-07-16T02:22:23Z,1970-01-01T00:00:00Z,"{'admin': False, 'push': False, 'pull': True}",True,,False,False,False,all,True,False,False,False,False,False,False,False,False,False,False,merge,False,,False,8h0m0s,sha1,2020-07-16T02:22:23Z,,[],,"{'external_tracker_url': 'https://github.com/HenrikBengtsson/aroma.light/issues', 'external_tracker_format': 'https://github.com/HenrikBengtsson/{repo}/issues/{index}', 'external_tracker_style': 'numeric', 'external_tracker_regexp_pattern': ''}",
